,sigla,prerrequisitos,relacion_prerreq_rest,restricciones,equivalencias
1476,IIQ3402,No tiene,No tiene, ((Programa = Mag En Cs Ingenieria) o (Programa = Doct Cs Ingenieria) o (Programa = Mag Ingenieria)),No tiene
1477,IIQ3373,IIQ2113,o,(Creditos >= 400) o (Programa=Mag en Cs Ingenieria) o (Programa=Doct Cs Ingenieria) o (Programa=Mag Ingenieria),(IIQ2372)
1478,IIQ2987,No tiene,No tiene,No tiene,No tiene
1479,IIQ3343,ICH1104 y (FIS1523 o IIQ1003 o ICM1003),o,(Programa=Mag en Cs Ingenieria) o (Programa=Doct Cs Ingenieria) o (Programa=Mag Ingenieria),(ICH3342 o IIQ3342)
1480,IIQ2985,No tiene,No tiene,No tiene,No tiene
1481,IIQ2986,No tiene,No tiene,No tiene,No tiene
1482,IIQ2981,No tiene,No tiene,No tiene,No tiene
1483,IIQ2972,No tiene,No tiene,No tiene,No tiene
1484,IIQ2723,IIQ2133 o IIQ1112,No tiene,No tiene,No tiene
1485,IIQ2683,BIO228C o (IIQ2113 y QIM202),No tiene,No tiene,(IIQ3683)
1486,IIQ2663,BIO100 o BIO100B o BIO141 o BIO141C,No tiene,No tiene,No tiene
1487,IIQ2673,IIQ2133 y (ICH1104 o IIQ2003),No tiene,No tiene,No tiene
1488,IIQ2623,IIQ3633 o QIM202 o BIO228C o QIM117 o QUM1001 o QUM1002 o BIO228,No tiene,No tiene,No tiene
1489,IIQ2363,No tiene,No tiene,(Creditos >= 250),No tiene
1490,IIQ2303,No tiene,No tiene,No tiene,(IIQ2302)
1491,IIQ213Q,QIM115 o QQF3601,y, (Escuela = Qu�mica),(IIQ2013)
1492,IIQ2043,(FIS1523 y QIM100A) o (IIQ1003 y QIM100A) o (ICM1003 y QIM100A) o (IIQ1002 y ING1011) o (IIQ1002 y IPP1000) o (FIZ0211 y QIM100A) o (FIS1523 y QIM100E) o (IIQ1003 y QIM100E) o (IIQ103H y QIM100E) o (ICM1003 y QIM100E) o (FIZ0211 y QIM100E) o (IIQ103H y QIM100A),No tiene,No tiene,(IIQ1012)
1493,IIQ2133,(FIS1523 y QIM100A) o (IIQ1003 y QIM100A) o (ICM1003 y QIM100A) o (IIQ1002 y ING1011) o (IIQ1002 y IPP1000) o (FIZ0211 y QIM100A) o (FIS1523 y QIM100E) o (IIQ1003 y QIM100E) o (IIQ103H y QIM100E) o (ICM1003 y QIM100E) o (FIZ0211 y QIM100E) o (IIQ103H y QIM100A) o (FIS1522 y IIQ1002 y ING1011) o (FIS1522 y IIQ1002 y IPP1000) o QIM115,No tiene,No tiene,(IIQ1112)
1494,IIQ2013,IIQ2003 o (ICH1102 y IIQ1112 y ING1011) o (ICH1102 y IIQ1112 y IPP1000) o QIM115,No tiene,No tiene,(IIQ1210 o IIQ2012 o IIQ213Q)
1495,IIQ2023,IIQ2003 o (IIQ1012 y IIQ1112 y ING1011) o (IIQ1012 y IIQ1112 y IPP1000) o IIQ2133,No tiene,No tiene,(IIQ1220 o IIQ2022 o IIQ223Q)
1496,IIQ2003,MAT1640 y (IIQ2133(c) o ICH2314(c) o QIM115),No tiene,No tiene,(IIQ2002)
1497,IIQ1003,(FIS0152(c) y MAT1630(c)) o (FIS1512 y ING1011 y MAT1512) o (FIS1512 y IPP1000 y MAT1512) o (ICE1013 y IPP1000 y MAT1512) o (ICE1013 y ING1011 y MAT1512) o (FIS1522 y ING1011 y QIM100) o (FIS1522 y IPP1000 y QIM100) o (FIS0152(c) y IMT2220 y IMT2230),No tiene,No tiene,(FIS1522 o FIS1523 o ICM1003 o IIQ1002 o IIQ103H)
