,sigla,prerrequisitos,relacion_prerreq_rest,restricciones,equivalencias
2043,FIL2001,No tiene,No tiene, (Nivel = Pregrado),(FIL183 o FIL184)
2044,FIL188,No tiene,No tiene,No tiene,No tiene
2045,FIL2000,No tiene,No tiene, (Programa = Mg Intel Artif),No tiene
2046,FIL185P,No tiene,No tiene,No tiene,(PSI1102)
2047,FIL184A,No tiene,No tiene, ((Programa = Lic Ccnn Y Matematic) o (Programa = Lic Cs Sociales) o (Programa = Lic Arte Y Humanid) o (Programa = Arquitectura) o (Programa = Arquitectura)),No tiene
2048,FIL184,No tiene,No tiene,No tiene,(COM118 o FIL114T o FIL2001 o FIL211B o FIL211L o FIL211S o FIL211T o FIL221T o FIL300R o FIL4120 o PCL440)
2049,FIL183,No tiene,No tiene,No tiene,(FIL013 o FIL113T o FIL180C o FIL180D o FIL180H o FIL180L o FIL180P o FIL180R o FIL180T o FIL181A o FIL183P o FIL2001 o FIL340P o FIL4030 o FIL9701 o SOL101S)
2050,FIL172,No tiene,No tiene,No tiene,No tiene
2051,FIL169,No tiene,No tiene,No tiene,No tiene
2052,FIL167,No tiene,No tiene,No tiene,No tiene
2053,FIL166,No tiene,No tiene,((Carrera=Filosofia) y (Creditos >= 350)),(FIL9900)
2054,FIL143,No tiene,No tiene,No tiene,No tiene
2055,FIL119T,No tiene,No tiene,No tiene,(FIL021 o FIL201T)
2056,FIL122T,No tiene,No tiene,No tiene,(FIL023 o FIL203T)
2057,FIL115T,No tiene,No tiene,No tiene,(FIL019 o FIL200T)
2058,FIL112T,No tiene,No tiene,No tiene,(FIL027 o FIL205T)
2059,FIL111T,No tiene,No tiene,No tiene,(FIL104T)
2060,FIL109T,No tiene,No tiene,No tiene,(FIL026 o FIL189)
2061,FIL027,No tiene,No tiene,No tiene,(FIL112T)
2062,FIL023,No tiene,No tiene,No tiene,(FIL122T)
2063,FIL021,No tiene,No tiene,No tiene,(FIL119T)
2064,FIL026,No tiene,No tiene,No tiene,(FIL109T)
2065,FIL018,No tiene,No tiene,No tiene,(FIL9604)
2066,FIL019,No tiene,No tiene,No tiene,(FIL115T)
2067,FIL014,No tiene,No tiene,No tiene,(FIL9602 o FIL9604)
2068,FIL013,No tiene,No tiene,No tiene,(FIL183 o FIL9701)
2069,FIL011,No tiene,No tiene,No tiene,(FIL9700)
2070,FIL007,No tiene,No tiene,No tiene,(FIL9810)
2071,FIL008,No tiene,No tiene,No tiene,(FIL9811)
2072,FIL005,No tiene,No tiene,No tiene,(FIL9504)
2073,FIL004,No tiene,No tiene,No tiene,(FIL9503)
2074,FIL002,No tiene,No tiene,No tiene,(FIL9501)
2075,EST5140,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
2076,EST4100,No tiene,No tiene,(Creditos >= 70),No tiene
2077,EST3150,No tiene,No tiene, (Programa = Mag Est Americanas),No tiene
2078,EST3100,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
2079,EST3110,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
2080,EST3000,No tiene,No tiene,No tiene,No tiene
2081,EST252E,No tiene,No tiene,No tiene,(ESE4510)
2082,EST251E,No tiene,No tiene,No tiene,(ESE4500)
2083,EST250E,No tiene,No tiene,No tiene,(ESE4520)
2084,EST245D,No tiene,No tiene,No tiene,No tiene
2085,EST240D,No tiene,No tiene,No tiene,(ESE4032)
2086,EST232C,No tiene,No tiene,No tiene,(EST210A o PCL221)
2087,EST222B,ESE4021 o EST221B,No tiene,No tiene,No tiene
2088,EST220B,No tiene,No tiene,No tiene,(ESE4001)
2089,EST230C,No tiene,No tiene,No tiene,(ESE4351 o PCL221)
2090,EST213A,(EST212A),No tiene,No tiene,(ESE4332)
2091,EST211A,No tiene,No tiene,No tiene,(ESE4310)
2092,EST210A,No tiene,No tiene, (Nivel = Pregrado),(ESE4335 o ESL2000 o EST232C o PCL221)
2093,EST002,No tiene,No tiene,No tiene,No tiene
2094,ESO3284,No tiene,No tiene,No tiene,No tiene
2095,ESO247D,No tiene,No tiene,No tiene,No tiene
2096,ESO2663,No tiene,No tiene,No tiene,No tiene
2097,ESO2424,No tiene,No tiene,No tiene,No tiene
2098,ESO235C,No tiene,No tiene,No tiene,No tiene
2099,ESO234C,No tiene,No tiene,No tiene,No tiene
2100,ESO2192,No tiene,No tiene,No tiene,(ESO2191)
2101,ESO2018,No tiene,No tiene,No tiene,No tiene
2102,ESO013,No tiene,No tiene,No tiene,No tiene
2103,ESO005,No tiene,No tiene,No tiene,No tiene
2104,ESE4045,No tiene,No tiene,No tiene,(ESL2051)
2105,IEU4001,No tiene,No tiene,No tiene,No tiene
2106,ESO008,No tiene,No tiene, (Nivel = Pregrado),No tiene
2107,IEU3107,IEU3106,No tiene,No tiene,No tiene
2108,IEU3106,No tiene,No tiene,No tiene,No tiene
2109,IEU3105,No tiene,No tiene,No tiene,No tiene
2110,IEU3101,(IEU3100),No tiene,No tiene,No tiene
2111,IEU3092,No tiene,No tiene,No tiene,(IEU4002)
2112,IEU3100,(IEU2030) y (IEU2035) y (IEU2036),No tiene,No tiene,No tiene
2113,IEU3091,No tiene,No tiene,No tiene,No tiene
2114,IEU3090,No tiene,No tiene,No tiene,No tiene
2115,IEU3088,No tiene,No tiene,No tiene,No tiene
2116,IEU3087,No tiene,No tiene,No tiene,No tiene
2117,IEU3085,No tiene,No tiene,No tiene,No tiene
2118,IEU3066,No tiene,No tiene,No tiene,No tiene
2119,IEU3077,No tiene,No tiene,No tiene,No tiene
2120,IEU3084,No tiene,No tiene,No tiene,No tiene
2121,IEU3065,No tiene,No tiene,No tiene,No tiene
2122,IEU3063,No tiene,No tiene,No tiene,No tiene
2123,IEU3047,No tiene,No tiene,No tiene,No tiene
2124,IEU3046,No tiene,No tiene,No tiene,No tiene
2125,IEU3036,No tiene,No tiene,No tiene,No tiene
2126,IEU2100,No tiene,No tiene,No tiene,No tiene
2127,IEU2050,No tiene,No tiene, (Nivel = Pregrado),No tiene
2128,IEU2049,No tiene,No tiene, (Nivel = Pregrado),No tiene
2129,IEU3011,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
2130,IEU2048,No tiene,No tiene, (Nivel = Pregrado),No tiene
2131,IEU2047,No tiene,No tiene, (Nivel = Pregrado),No tiene
2132,IEU2043,No tiene,No tiene, (Nivel = Pregrado),No tiene
2133,IEU2042,No tiene,No tiene,No tiene,No tiene
2134,IEU2033,No tiene,No tiene,No tiene,No tiene
2135,IEU2031,No tiene,No tiene,No tiene,No tiene
2136,IEU2032,(IEU2026) y (IEU2035),No tiene,No tiene,No tiene
2137,IEU2030,(COM114 o PSI1203 o SOL104 o SOL126 o SOL126S o SOL126C),No tiene,No tiene,No tiene
2138,IEU2028,No tiene,No tiene,No tiene,No tiene
2139,IEU2025,No tiene,No tiene,No tiene,No tiene
2140,IEU2021,No tiene,No tiene,No tiene,No tiene
2141,IEU2020,No tiene,No tiene,No tiene,No tiene
2142,IEU2016,No tiene,No tiene,No tiene,No tiene
2143,AEU2000,No tiene,No tiene,No tiene,No tiene
2144,IEU2009,No tiene,No tiene,No tiene,No tiene
2145,IEU2002,No tiene,No tiene, (Nivel = Pregrado),(PDU134)
2146,GOB3100,GOB3008 y GOB3009,No tiene,No tiene,No tiene
2147,GOB3039,No tiene,No tiene,No tiene,No tiene
2148,GOB3038,No tiene,No tiene,No tiene,No tiene
2149,GOB3037,No tiene,No tiene,No tiene,No tiene
2150,GOB3034,No tiene,No tiene,No tiene,No tiene
2151,GOB3025,No tiene,No tiene,No tiene,No tiene
2152,GOB3032,No tiene,No tiene,No tiene,No tiene
2153,GOB3027,GOB3005,No tiene,No tiene,No tiene
2154,GOB3021,No tiene,No tiene,No tiene,No tiene
2155,GOB3018,No tiene,No tiene,No tiene,No tiene
2156,GOB3009,GOB3008,No tiene,No tiene,No tiene
2157,GOB3008,No tiene,No tiene,No tiene,No tiene
2158,GOB3006,No tiene,No tiene,No tiene,No tiene
2159,GOB2014,No tiene,No tiene,No tiene,No tiene
2160,GOB2004,No tiene,No tiene,No tiene,No tiene
2161,GOB3004,No tiene,No tiene,No tiene,No tiene
2162,GOB2009,No tiene,No tiene,No tiene,No tiene
2163,GOB2003,No tiene,No tiene,No tiene,No tiene
2164,GOB2002,No tiene,No tiene,No tiene,No tiene
2165,GOB1001,No tiene,No tiene,No tiene,No tiene
2166,ADP002G,No tiene,No tiene, (Nivel = Pregrado),No tiene
2167,ADP001G,No tiene,No tiene,No tiene,No tiene
2168,ENO4300,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
2169,ENO3102,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
2170,ENO2016,MEE200E o BIO140A,No tiene,No tiene,No tiene
2171,ENO4200,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
2172,ENO2012,No tiene,No tiene,No tiene,(ENF200)
2173,ENO2007,No tiene,No tiene,No tiene,No tiene
2174,ENO2003,No tiene,No tiene,No tiene,No tiene
2175,ENN3010,No tiene,No tiene,No tiene,No tiene
2176,ENJ3110,No tiene,No tiene,No tiene,No tiene
2177,ENH3010,No tiene,No tiene,No tiene,No tiene
2178,ENJ3010,No tiene,No tiene,No tiene,No tiene
2179,ENF4400,ENF4340 y ENF4360 y ENF4390,No tiene,No tiene,No tiene
2180,ENF4390,No tiene,No tiene,No tiene,No tiene
2181,ENF4380,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
2182,ENF4370,No tiene,No tiene,No tiene,No tiene
2183,ENF4340,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
2184,ENF4310,No tiene,No tiene, (Programa = Mag Enfermeria),No tiene
2185,ENF4360,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
2186,ENF420,No tiene,No tiene,No tiene,No tiene
2187,ENF4140,(ENF4130),No tiene,No tiene,No tiene
2188,ENF4130,No tiene,No tiene, (Programa = Mag Enfermeria),No tiene
2189,ENF4101,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
2190,ENF4030,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
2191,ENF300P,No tiene,No tiene,No tiene,(ENI2003)
2192,ENF4000,No tiene,No tiene, ((Programa = Mag Enfermeria) o (Programa = Mg Enf Pr Ava m Onco)),No tiene
2193,ENF2560,No tiene,No tiene,No tiene,No tiene
2194,ENF2558,No tiene,No tiene,No tiene,No tiene
2195,ENF2552,ENF2512 o ENT2510 o ENT2520 o ENT2526 o ENT2532,No tiene,No tiene,(ENP2518)
2196,ENF2548,ENF2516 o ENT2515 o ENT2523 o ENT2529,No tiene,No tiene,(ENC2516)
2197,ENF2544,ENF2302 y ENF2306 y ENF2310 y ENF2314 y ENF2318 y ENF2321 y ENF2324,No tiene,No tiene,(ENI2512 o ENP2415)
2198,ENF2540,ENF2512 o ENT2510 o ENT2520 o ENT2526 o ENT2532,No tiene,No tiene,(ENI2511)
2199,ENF2536,ENF2516 o ENT2515 o ENT2523 o ENT2529,No tiene,No tiene,(ENC2507)
2200,ENF2528,ENF2302 y ENF2306 y ENF2310 y ENF2314 y ENF2318 y ENF2321 y ENF2324,No tiene,No tiene,(ENF2000 o ENO3145)
2201,ENF2520,ENF2512 o ENT2510 o ENT2520 o ENT2526 o ENT2532,No tiene,No tiene,(ENA2501)
2202,ENF2516,ENF2302 y ENF2306 y ENF2310 y ENF2314 y ENF2318 y ENF2321 y ENF2324,No tiene,No tiene,(ENT2515 o ENT2523 o ENT2529)
2203,ENF2512,ENF2302 y ENF2306 y ENF2310 y ENF2314 y ENF2318 y ENF2321 y ENF2324,No tiene,No tiene,(ENT2510 o ENT2520 o ENT2526 o ENT2532)
2204,ENF2508,(ENF2500 y ENF2544) o (ENF2500 y ENI2512) o (ENF2500 y ENP2415) o (ENP2420 y ENF2544) o (ENP2420 y ENI2512) o (ENP2420 y ENP2415),No tiene,No tiene,(ENT2505)
2205,ENF2504,(ENF2500 y ENF2544) o (ENF2500 y ENI2512) o (ENF2500 y ENP2415) o (ENP2420 y ENF2544) o (ENP2420 y ENI2512) o (ENP2420 y ENP2415),No tiene,No tiene,(ENT2500)
2206,ENF2500,ENF2302 y ENF2306 y ENF2310 y ENF2314 y ENF2318 y ENF2321 y ENF2324,No tiene,No tiene,(ENP2420)
2207,ENF2412,ENF2302(c) o ENF2306(c) o ENF2310 o ENF2318(c) o (ENF2321(c) y ENF2324(c)),No tiene,No tiene,(ENP2412)
2208,ENF2406,ENF2302(c) o ENF2306(c) o ENF2310 o ENF2318(c) o (ENF2321(c) y ENF2324(c)),No tiene,No tiene,(ENY2406)
2209,ENF2400,ENF2302(c) o ENF2306(c) o ENF2310 o ENF2318(c) o (ENF2321(c) y ENF2324(c)),No tiene,No tiene,(ENG2400)
2210,ENF2324,ENF1132 o ENF1129,No tiene,No tiene,(ENF1123)
2211,ENF2321,(ENF2201 y ENF2205 y EYP1086 y MED821 y MEE200E) o (ENF2201 y ENF2205 y EYP1510 y MED821 y MEE200E),No tiene,No tiene,(ENP2318)
2212,ENF2318,(ENF2201 y ENF2205 y EYP1086 y MED821 y MEE200E) o (ENF2201 y ENF2205 y EYP1510 y MED821 y MEE200E),No tiene,No tiene,(ENP2316)
2213,ENF2310,(ENF2201 y ENF2205 y EYP1086 y MED821 y MEE200E) o (ENF2201 y ENF2205 y EYP1510 y MED821 y MEE200E),No tiene,No tiene,(ENP2309)
2214,ENF2306,ENF2302(c) o ENF2310(c) o ENF2318(c) o ENF2314(c) o ENF2321(c),No tiene,No tiene,(ENP2306)
2215,ENF2314,(ENF2201 y ENF2205 y ENF2306(c) y EYP1086 y MED821 y MEE200E) o (ENF2201 y ENF2205 y ENF2306(c) y EYP1510 y MED821 y MEE200E),No tiene,No tiene,(ENP2313)
2216,ENF2302,(ENF2201 y ENF2205 y EYP1086 y MED821 y MEE200E) o (ENF2201 y ENF2205 y EYP1510 y MED821 y MEE200E),No tiene,No tiene,(ENP2302)
2217,ENF2205,(ENF1126 y ENF1132 y EYP1086) o (ENF1126 y ENF1132 y EYP1086(c)),No tiene,No tiene,(ENP1205)
2218,ENF1212,No tiene,No tiene,No tiene,No tiene
2219,ENF2201,BIO135F(c) y ENF1132 y PSB118,No tiene,No tiene,(ENF1201)
2220,ENF1205,MED841,No tiene,No tiene,No tiene
2221,ENF1133,No tiene,No tiene,No tiene,No tiene
2222,ENF1126,No tiene,No tiene, (Nivel = Pregrado),(ENF1125)
2223,ENF1127,No tiene,No tiene,No tiene,No tiene
2224,ENF1124,No tiene,No tiene,No tiene,No tiene
2225,ENF1112,No tiene,No tiene,No tiene,No tiene
2226,ENF1102,No tiene,No tiene, (Nivel = Pregrado),No tiene
2227,ENF1100,No tiene,No tiene, (Nivel = Pregrado),No tiene
2228,ENB3010,No tiene,No tiene,No tiene,No tiene
2229,ENA3420,No tiene,No tiene,No tiene,No tiene
2230,ENA3413,No tiene,No tiene,No tiene,No tiene
2231,EIN1008,No tiene,No tiene,No tiene,No tiene
2232,EIN1007,(EIN1005 y LET1332 y LET2312) o (EIN1005 y LET1732 y LET2312),No tiene,No tiene,No tiene
2233,EIN1004,EIN1003,No tiene,No tiene,No tiene
2234,EIN1002,LET1314 o LET1714,No tiene,No tiene,No tiene
2235,EIN1001,No tiene,No tiene,No tiene,No tiene
2236,EFS1510,No tiene,No tiene, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
2237,EFS1505,No tiene,No tiene, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
2238,EFS1500,No tiene,No tiene, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
2239,EFS1030,No tiene,No tiene, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
2240,EFS1010,No tiene,No tiene, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
2241,EFS1000,No tiene,No tiene, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
2242,EDU552,EFS1040,y, (Carrera = Ped Ed Fis y Sal - Bas y Med),No tiene
2243,EDU4230,EDU4222,y, (Programa = Doct Educacion),No tiene
2244,EDU4229,(EDU4228),y, ((Programa = Doct En Cs Educacion) o (Programa = Doct Educacion)),No tiene
2245,EDU4225,(EDU4224),No tiene,No tiene,No tiene
2246,EDU4224,(EDU4223(c)),No tiene,No tiene,No tiene
2247,EDU4228,(EDU4227),y, ((Programa = Doct En Cs Educacion) o (Programa = Doct Educacion)),No tiene
2248,EDU4221,No tiene,No tiene,No tiene,No tiene
2249,EDU4220,No tiene,No tiene,No tiene,No tiene
2250,EDU4226,(EDU4205),y, ((Programa = Doct En Cs Educacion) o (Programa = Doct Educacion)),No tiene
2251,EDU4205,No tiene,No tiene,No tiene,No tiene
2252,EDU4064,No tiene,No tiene, (Nivel = Doctorado),No tiene
2253,EDU4061,No tiene,No tiene,No tiene,No tiene
2254,EDU4063,No tiene,No tiene,No tiene,No tiene
2255,EDU4062,No tiene,No tiene,No tiene,No tiene
2256,EDU405R,EDU004R(c) o EDU009R(c) o EDU017R(c) o EDU018R(c),No tiene,No tiene,No tiene
2257,EDU4048,No tiene,No tiene, (Programa = Doct Educacion),No tiene
2258,EDU4045,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
2259,EDU4044,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
2260,EDU4041,No tiene,No tiene, (Programa = Doct Educacion),No tiene
2261,EDU403R,(EDU163R) y (EDU302R),No tiene,No tiene,No tiene
2262,EDU4038,No tiene,No tiene,No tiene,No tiene
2263,EDU4037,No tiene,No tiene,No tiene,No tiene
2264,EDU4002,No tiene,No tiene, ((Carrera = Mag Cs Educacion) o (Carrera = Doct en Cs Educacion)),No tiene
2265,EDU401R,(EDU319R) y (EDU301R),No tiene,No tiene,No tiene
2266,EDU3899,EDU3898,No tiene,No tiene,No tiene
2267,EDU3890,No tiene,No tiene,No tiene,No tiene
2268,EDU3895,No tiene,No tiene,No tiene,No tiene
2269,EDU3883,No tiene,No tiene,No tiene,No tiene
2270,EDU3880,No tiene,No tiene,No tiene,No tiene
2271,EDU3873,No tiene,No tiene,No tiene,No tiene
2272,EDU3870,No tiene,No tiene,No tiene,No tiene
2273,EDU3860,No tiene,No tiene,No tiene,No tiene
2274,EDU3864,No tiene,No tiene,No tiene,No tiene
2275,EDU3851,No tiene,No tiene,No tiene,No tiene
2276,EDU3850,No tiene,No tiene,No tiene,No tiene
2277,EDU3844,No tiene,No tiene,No tiene,No tiene
2278,EDU3841,No tiene,No tiene,No tiene,No tiene
2279,EDU3840,No tiene,No tiene,No tiene,No tiene
2280,EDU3835,No tiene,No tiene,No tiene,No tiene
2281,EDU3834,No tiene,No tiene,No tiene,No tiene
2282,EDU3833,No tiene,No tiene,No tiene,No tiene
2283,EDU3831,No tiene,No tiene,No tiene,No tiene
2284,EDU3830,No tiene,No tiene,No tiene,No tiene
2285,EDU3828,No tiene,No tiene,No tiene,No tiene
2286,EDU3827,No tiene,No tiene,No tiene,No tiene
2287,EDU3824,No tiene,No tiene,No tiene,No tiene
2288,EDU3821,No tiene,No tiene,No tiene,No tiene
2289,EDU3820,No tiene,No tiene,No tiene,No tiene
2290,EDU3814,No tiene,No tiene,No tiene,No tiene
2291,EDU3811,No tiene,No tiene,No tiene,No tiene
2292,EDU3810,No tiene,No tiene,No tiene,No tiene
2293,EDU3805,No tiene,No tiene,No tiene,No tiene
2294,EDU3803,No tiene,No tiene,No tiene,No tiene
2295,EDU3800,No tiene,No tiene,No tiene,No tiene
2296,EDU3801,No tiene,No tiene,No tiene,No tiene
2297,EDU370F,No tiene,No tiene,No tiene,(DPT6651)
2298,EDU21ES,No tiene,No tiene, (Nivel = Pregrado),No tiene
2299,EDU0512,No tiene,No tiene,No tiene,No tiene
2300,EDU0511,No tiene,No tiene,No tiene,No tiene
2301,EDU0510,No tiene,No tiene, (Programa = Ped Ing Ed Bas y Med),No tiene
2302,EDU0507,EDU0506,No tiene,No tiene,No tiene
2303,EDU0506,LET1314 o LET1714,No tiene,No tiene,No tiene
2304,EDU0504,EDU0503 y EDU0507,No tiene,No tiene,No tiene
2305,EDU0502,EDU0501 y EDU0506,No tiene,No tiene,No tiene
2306,EDU0462,(EDU0461) y (EDU0460(c)),No tiene,No tiene,No tiene
2307,EDU0461,(EDU0443) y (EDU0459(c)),No tiene,No tiene,No tiene
2308,EDU0460,(EDU0459) y (EDU0462(c)),No tiene,No tiene,No tiene
2309,EDU0459,(EDU0461(c)),No tiene,No tiene,No tiene
2310,EDU0457,EDU0431 o EPA5150,No tiene,No tiene,No tiene
2311,EDU0455,(EDU0456),No tiene,No tiene,No tiene
2312,EDU0452,(EDU0451(c)) y (EDU0450(c)),No tiene,No tiene,No tiene
2313,EDU0451,(EDU0443) y (EDU0449(c)),No tiene,No tiene,No tiene
2314,EDU0450,(EDU0449 y EDU0452(c)),No tiene,No tiene,No tiene
2315,EDU0449,(EDU0451(c)),No tiene,No tiene,No tiene
2316,EDU0447,(TSL100P),No tiene,No tiene,No tiene
2317,EDU0446,EDU0429 o EPA5200,No tiene,No tiene,No tiene
2318,EDU0443,(EDU0442 y EDU0430(c)) o (EDU0442 y EPA5700(c)) o (EDU0442 y EPA5750(c)),No tiene,No tiene,No tiene
2319,EDU0442,(EDU0441 y EDU0429(c)) o (EDU0441 y EPA5200(c)),No tiene,No tiene,No tiene
2320,EDU0441,No tiene,No tiene,No tiene,No tiene
2321,EDU0437,EDU0429 o EPA5200,No tiene,No tiene,(EPA5450)
2322,EDU0436,EDU0429 o EPA5200,No tiene,No tiene,(EBP3400)
2323,EDU0435,EDU0429 o EPA5200,No tiene,No tiene,(EBP3300)
2324,EDU0434,(EDU0424 y EDU0425) o (EDU0424 y EPA3200),No tiene,No tiene,(EPA5250)
2325,EDU0433,(BIO100P y EDU0429) o (BIO100P y EPA5200),No tiene,No tiene,(EPA5550)
2326,EDU0432,(EDU0427 y EDU0429) o (EDU0427 y EPA5200),No tiene,No tiene,(EPA5650)
2327,EDU0431,EPA3100 o MAT1900,No tiene,No tiene,(EPA5150)
2328,EDU0430,(EDU0420 y EDU0443(c)) o (EFG2000 y EDU0443(c)) o (EFG2200 y EDU0443(c)),No tiene,No tiene,(EPA5700 o EPA5750)
2329,EDU0429,(EDU0428 y EDU0442(c)) o (EFG1200 y EDU0442(c)),No tiene,No tiene,(EPA5200)
2330,EDU0428,No tiene,No tiene,No tiene,(EFG1200)
2331,EDU0427,No tiene,No tiene,No tiene,No tiene
2332,EDU0425,No tiene,No tiene,No tiene,(EPA3200)
2333,EDU0424,No tiene,No tiene,No tiene,No tiene
2334,EDU0423,(EDU0420 y EDU0429) o (EDU0420 y EPA5200) o (EFG2000 y EDU0429) o (EFG2000 y EPA5200) o (EFG2200 y EDU0429) o (EFG2200 y EPA5200),No tiene,No tiene,(EFG2100)
2335,EDU0421,No tiene,No tiene,No tiene,(EFG1500)
2336,EDU0420,No tiene,No tiene,No tiene,(EFG2000 o EFG2200)
2337,EDU0393,(EDU0395 y EDU0337) o (EDU0365 y EDU0337) o (EDU0375 y EDU0337) o (EDU0385 y EDU0337) o (EDU0360 y EDU0337),No tiene,No tiene,No tiene
2338,EDU0396,EDU0395 o EDU0365 o EDU0375 o EDU0385 o EDU0360,No tiene,No tiene,No tiene
2339,EDU0386,EDU0385 o EDU0365 o EDU0375 o EDU0395 o EDU0360,No tiene,No tiene,No tiene
2340,EDU0380,IHI0055 o IHI0101 o IHI1006,No tiene,No tiene,No tiene
2341,EDU0376,EDU0375 o EDU0365 o EDU0385 o EDU0395 o EDU0360,No tiene,No tiene,No tiene
2342,EDU0370,(MAT2920 y MAT2930) o (MAT2920 y MAT2940),No tiene,No tiene,No tiene
2343,EDU0366,(EDU0365 y EDU0362(c)) o (EDU0375 y EDU0362(c)) o (EDU0385 y EDU0362(c)) o (EDU0395 y EDU0362(c)) o (EDU0360 y EDU0362(c)),No tiene,No tiene,No tiene
2344,EDU0363,EDU0330 y EDU0322 y EDU0331 y EDU0365(c),No tiene,No tiene,No tiene
2345,EDU0361,(EDU0330 y EDU0322) o (EDU0330 y ELB1001),No tiene,No tiene,No tiene
2346,EDU0362,No tiene,No tiene,No tiene,No tiene
2347,EDU0341,No tiene,No tiene,No tiene,No tiene
2348,EDU0360,EDU0340 y EDU0331 y EDU0333 y EDU0335 y EDU0337,No tiene,No tiene,(EDU0365 o EDU0375 o EDU0385 o EDU0395)
2349,EDU0340,EDU0339 y EDU0332 y EDU0334 y EDU0336,No tiene,No tiene,No tiene
2350,EDU0339,EDU0338 y EDU0318 y EDU0319 y EDU0330,No tiene,No tiene,No tiene
2351,EDU0338,EDU0315(c) o EFG1300(c),No tiene,No tiene,(EBP3000)
2352,EDU0336,(BIO155C y EDU0315 y EDU0318 y EDU0319 y QIM100) o (BIO155C y EDU0315 y EDU0318 y EDU0319 y QIM100P) o (BIO155E y EDU0315 y EDU0318 y EDU0319 y QIM100) o (BIO155E y EDU0315 y EDU0318 y EDU0319 y QIM100P),No tiene,No tiene,(EBA4550)
2353,EDU0337,(FIS109C(c) y EBA4550) o (FIS109C(c) y EDU0336) o (FIS119E(c) y EBA4550) o (FIS119E(c) y EDU0336) o (FIS109A(c) y EDU0336) o (FIS109A(c) y EBA4550) o (FIZ1111(c) y EDU0336) o (FIZ1111(c) y EBA4550),No tiene,No tiene,No tiene
2354,EDU0335,(GEO1006 o GEO111) y EDU0315 y EDU0318 y EDU0319,No tiene,No tiene,No tiene
2355,EDU0334,EDU0323 y EDU0315 y EDU0318 y EDU0319,No tiene,No tiene,(EBA4650)
2356,EDU0333,EBA4150 o EDU0332,No tiene,No tiene,No tiene
2357,EDU0332,EYP1020 y MAT1930 y EDU0315 y EDU0318 y EDU0319,No tiene,No tiene,(EBA4150)
2358,EDU0331,LET002B y EDU0315 y EDU0318 y EDU0319,No tiene,No tiene,No tiene
2359,EDU0330,(LET002B y EDU0318) o (LET002B y EFG2000),No tiene,No tiene,No tiene
2360,EDU0323,No tiene,No tiene,No tiene,(EBA4600)
2361,EDU0329,No tiene,No tiene,No tiene,(EBP3300)
2362,EDU0322,No tiene,No tiene,No tiene,(ELB1001)
2363,EDU0321,(EDU0340(c)),No tiene,No tiene,(EBA4850)
2364,EDU0320,No tiene,No tiene, ((Carrera = P General Basica) o (Carrera = Ped Ed Fis y Sal - Bas y Med) o (Carrera = Ped Rel Cat - Ed Bas y Med)),(EBP3500 o EDU0166 o EDU556)
2365,EDU0319,EDU0318 o EFG2000,No tiene,No tiene,(EFG2100)
2366,EDU0318,No tiene,No tiene,No tiene,(EFG2000)
2367,EDU0317,No tiene,No tiene, ((Programa = Ped. General Basica) o (Programa = Ed De Parvulos) o (Programa = Ped Edu Parvularia) o (Programa = Ped Rel Cat)),(EFG2300)
2368,EDU0315,(EDU0310 y EDU0338(c)) o (EDU0310 y EBP3000(c)) o (EFG1200 y EDU0338(c)) o (EFG1200 y EBP3000(c)) o (EDU0038 y EDU0039(c)),No tiene,No tiene,(EFG1300)
2369,EDU0314,No tiene,No tiene,No tiene,(EDU0309 o EFG1100 o EFG1400)
2370,EDU0316,EDU0340(c) o EDU0043(c),No tiene,No tiene,(EFG2400)
2371,EDU0313,No tiene,No tiene,No tiene,(EDU0308 o EFG1400)
