sigla,Prerrequisitos,Relación entre prerrequisitos y restricciones,Restricciones,Equivalencias
ARQ3538,AQU0300 y AQU0404,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3535,No tiene,No tiene,No tiene,No tiene
ARQ3537,No tiene,No tiene,No tiene,No tiene
ARQ3502,AQT008A o AQT008C o AQT008H o AQT008U o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),(ARQ3501)
ARQ3354,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3352,ARQ3351 o ARQ3305 o AQA1100 o ARQ3551 o ARQ3071 o ARQ3602 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(ARQ3003)
ARQ3351,ARQ3350,No tiene,No tiene,(AQA1100 o AQT010T o ARQ3304 o ARQ3305 o ARQ3504)
ARQ3350,AQT008A o AQT008C o AQT008H o AQT008U o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),(ARQ3305)
ARQ3318,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Doctorado) o (Nivel=Magister),No tiene
ARQ3314,(AQT006A o AQT006U o AQT006H o AQT006I) y AQH0400,o,(Nivel=Doctorado) o (Nivel=Magister) o (Creditos >= 300),No tiene
ARQ3306,No tiene,No tiene, (Programa = Mag Arq Del Paisaje),(ARQ3320)
ARQ3251,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3240,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3237,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ARQ3236,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ARQ3235,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ARQ3234,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Doctorado) o (Nivel=Magister),No tiene
ARQ3232,AQT008A o AQT008C o AQT008H o AQT008U o AQT008I,o,(Nivel=Doctorado) o (Nivel=Magister),No tiene
ARQ3230,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3228,(AQC0300 y AQH0400 y AQT008A y AQU0404) o (AQC0300 y AQH0400 y AQT008H y AQU0404) o (AQC0300 y AQH0400 y AQT008U y AQU0404) o (AQC0300 y AQH0400 y AQT008C y AQU0404) o (AQC0300 y AQH0400 y AQT008I y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3227,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3205,No tiene,No tiene,No tiene,No tiene
ARQ3204,No tiene,No tiene,No tiene,(AQT010T)
ARQ3202,No tiene,No tiene,No tiene,No tiene
ARQ3109,ARQ3070 o ARQ3005,No tiene,No tiene,No tiene
ARQ3108,No tiene,No tiene,No tiene,No tiene
ARQ3107,No tiene,No tiene,No tiene,No tiene
ARQ3103,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ARQ3100,(AQT008A o AQT008C o AQT008H o AQT008I o AQT008U) y AQH0400 y AQU0404,o,(Nivel=Magister),(ARQ3000)
ARQ3102,No tiene,No tiene,No tiene,No tiene
ARQ3099,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3097,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3090,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3080,(AQH0400 y AQT008A y AQU0404) o (AQH0400 y AQT008C y AQU0404) o (AQH0400 y AQT008H y AQU0404) o (AQH0400 y AQT008U y AQU0404) o (AQH0400 y AQT008I y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),(ARQ3002 o ARQ3006)
ARQ3075,AQT0500 o AQA0605,No tiene,No tiene,No tiene
ARQ3071,ARQ3070,No tiene,No tiene,(AQA1100 o AQT010T o ARQ3004)
ARQ3054,AQT008A o AQT008C o AQT008H o AQT008I o AQT008U,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3070,AQT008A o AQT008C o AQT008H o AQT008U o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),(ARQ3005)
ARQ3049,AQT006A o AQT006C o AQT006H o AQT006U o AQH0400,o,(Creditos >= 300) o (Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3044,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
ARQ3027,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I,o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3023,No tiene,No tiene,No tiene,No tiene
ARQ3009,No tiene,No tiene,No tiene,No tiene
ARQ3001,(AQC0300 y AQH0400 y AQT008A y AQU0404) o (AQC0300 y AQH0400 y AQT008H y AQU0404) o (AQC0300 y AQH0400 y AQT008U y AQU0404) o (AQC0300 y AQH0400 y AQT008C y AQU0404) o (AQC0300 y AQH0400 y AQT008I y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),No tiene
ARQ3002,(AQC0300 y AQH0400 y AQT008A y AQU0404) o (AQC0300 y AQH0400 y AQT008H y AQU0404) o (AQC0300 y AQH0400 y AQT008U y AQU0404) o (AQC0300 y AQH0400 y AQT008C y AQU0404) o (AQC0300 y AQH0400 y AQT008I y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),(ARQ3080)
ARQ3003,No tiene,No tiene, ((Programa = Mag En Arquitectura) o (Programa = Doct En Arquitectura) o (Programa = Mag Proyecto Urbano) o (Programa = Mag Arq Del Paisaje) o (Programa = Mag Desarrollo Urban) o (Programa = Mag Asent Humanos-Ma)),(ARQ3352 o ARQ3552 o ARQ3603)
ARQ3000,(AQH0400 y AQT008A y AQU0404) o (AQH0400 y AQT008C y AQU0404) o (AQH0400 y AQT008H y AQU0404) o (AQH0400 y AQT008I y AQU0404) o (AQH0400 y AQT008U y AQU0404),o,(Nivel=Magister) o (Nivel=Doctorado),(ADU4004 o ARQ3100)
AQU0404,(AQU0300),No tiene,No tiene,(AQU0400)
AQU0300,AQU0200 o AQU0402,No tiene,No tiene,No tiene
AQU0200,AQU0000 o AQU0301,No tiene,No tiene,(AQU0402)
AQU0000,(AQT0000 y AQD0302) o (AQT0000 y AQT0200) o (AQA0102 y AQD0302) o (AQA0102 y AQT0200) o (AQA0203 y AQT0000) o (AQA0102 y AQA0203),No tiene,No tiene,(AQU0301)
AQT100U,ARQ3551 o AQA1100 o ARQ3351 o ARQ3071 o ARQ3602 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(AQA1200 o AQT020T)
AQT100P,ARQ3351 o ARQ3305 o AQA1100 o ARQ3551 o ARQ3071 o ARQ3602 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(AQA1200 o AQT020T)
AQT100E,ARQ3602 o AQA1100 o ARQ3351 o ARQ3551 o ARQ3071 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(AQA1200 o AQT020T)
AQT100C,AQA1100 o ARQ3351 o ARQ3551 o ARQ3071 o ARQ3602 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(AQA1200 o AQT020T)
AQT100A,ARQ3071 o AQA1100 o ARQ3351 o ARQ3551 o ARQ3602 o ARQ3203 o AQT010T o AQA110H o AQA1102 o ARQ3204,No tiene,No tiene,(AQA1200 o AQT020T)
AQT0500,(AQA0504 y AQD0503) o (AQA0504 y AQR1000) o (AQT0400 y AQD0503) o (AQT0400 y AQR1000),No tiene,No tiene,(AQA0605)
AQT0400,AQT0300 y MAT1307,No tiene,No tiene,(AQA0504)
AQT0300,AQD0302 o AQT0200 o AQA0203,No tiene,No tiene,(AQA0304 o AQD0503)
AQT020T,AQT010T o AQA1100 o AQA110H o AQA1102 o ARQ3071 o ARQ3203 o ARQ3204 o ARQ3351 o ARQ3551 o ARQ3602,No tiene,No tiene,(AQA120H o AQA120U o AQA1200 o AQA1202 o AQT100A o AQT100C o AQT100E o AQT100P o AQT100U)
AQT0200,AQT0000 o AQA0102,No tiene,No tiene,(AQA0203 o AQD0302)
AQT010T,(AQA1010 o AQT009A o AQT009C o AQT009H o AQT009I o AQT009U o AQA100C o AQA100H o AQA100I o AQA100U) y (AQO0100 o AQP0802),No tiene,No tiene,(AQA110H o AQA1100 o AQA1102 o ARQ3071 o ARQ3203 o ARQ3204 o ARQ3351 o ARQ3551 o ARQ3602)
AQT009A,AQT008A o AQT008H o AQT008U o AQT008C o AQT008I o AQA0909,No tiene,No tiene,(AQA1010)
