sigla,Prerrequisitos,Relación entre prerrequisitos y restricciones,Restricciones,Equivalencias
MEN302A,IIQ2603 o IIQ2642,No tiene,No tiene,No tiene
MEN202A,(BIO135N),No tiene,No tiene,No tiene
MEN204C,(MEN202A),No tiene,No tiene,(MEN204B)
MEN201A,MAT1023 o MAT1013 o MAT1033 o MAT210E,No tiene,No tiene,(MEF103A o MEK201A)
MEN1020,No tiene,No tiene,No tiene,No tiene
MEN101A,No tiene,No tiene,No tiene,No tiene
MEN1000,No tiene,No tiene,No tiene,No tiene
MEM3032,No tiene,No tiene, ((Programa = Pt Anestesiologia) o (Programa = Pt En Neurocirugia) o (Programa = Pt Medicina Nuclear) o (Programa = Pt Medic Intens Adul)),No tiene
MEM3013,No tiene,No tiene,No tiene,No tiene
MEM3008,No tiene,No tiene,No tiene,No tiene
MEM3007,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
MEM3002,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
MEM3003,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
MEM3001,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
MEK401A,(MEK203A),No tiene,No tiene,No tiene
MEK302B,KIN202,No tiene,No tiene,(MEK302A)
MEK301A,(KIN202),No tiene,No tiene,No tiene
MEK202A,BIO135C o BIO135F o BIO135K o BIO135N,No tiene,No tiene,No tiene
MEK201A,MAT1023 o MAT1013 o MAT1033 o MAT210E,No tiene,No tiene,(MEF103A o MEN201A)
MEK101B,No tiene,No tiene,No tiene,No tiene
MEK102,No tiene,No tiene,No tiene,No tiene
MEI1020,No tiene,No tiene,No tiene,No tiene
MEI1000,No tiene,No tiene,No tiene,No tiene
MEH3002,No tiene,No tiene,No tiene,No tiene
MEH3000,No tiene,No tiene,No tiene,No tiene
MEF302B,(FON101),No tiene,No tiene,(MEF302A)
MEF301A,(FON102),No tiene,No tiene,No tiene
MEF201A,BIO135C o BIO135F o BIO135K o BIO135N,No tiene,No tiene,No tiene
MEF101A,No tiene,No tiene,No tiene,No tiene
MED843,No tiene,No tiene, (Nivel = Pregrado),No tiene
MED841,No tiene,No tiene,No tiene,No tiene
MED831,MED309A o MED302A,No tiene,No tiene,No tiene
MED837,No tiene,No tiene, (Nivel = Pregrado),No tiene
MED829,No tiene,No tiene,No tiene,No tiene
MED828,No tiene,No tiene,No tiene,No tiene
MED825,No tiene,No tiene,No tiene,No tiene
MED818B,No tiene,No tiene,No tiene,No tiene
MED818A,No tiene,No tiene,No tiene,No tiene
MED817B,No tiene,No tiene,No tiene,No tiene
MED817A,No tiene,No tiene,No tiene,No tiene
MED816B,(MED819),No tiene,No tiene,No tiene
MED816A,(MED819),No tiene,No tiene,No tiene
MED815A,(MED811),No tiene,No tiene,No tiene
MED814A,No tiene,No tiene,No tiene,No tiene
MED813A,(MED819),No tiene,No tiene,No tiene
MED812A,(MED811),No tiene,No tiene,No tiene
MED612A,No tiene,No tiene, (Carrera = Medicina),No tiene
MED610A,No tiene,No tiene, (Carrera = Medicina),No tiene
MED611A,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED708A)
MED609A,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED708A)
MED608A,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED707A)
MED607A,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED704B o MED708A)
MED606A,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED704B)
MED605A,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED701D)
MED604B,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED604A)
MED603B,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED603A)
MED602B,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED602A)
MED601B,MED504B y MED505B y MED508A y MED509A,y,(Carrera=Medicina),(MED601A)
MED509A,(MED406A),No tiene,No tiene,No tiene
MED508A,MED407A y MED408A y MED409A,No tiene,No tiene,(MED507A o MED705B o MED706B)
MED505B,MED404A y MED405A,No tiene,No tiene,(MED505A)
MED504B,MED404A y MED405A,No tiene,No tiene,(MED504A)
MED405A,MED312A y (MED309A o MED302A),No tiene,No tiene,No tiene
MED403A,(MED302A y MED305A) o ODO306A,No tiene,No tiene,(MED207A)
MED404A,MED302A o MED309A,No tiene,No tiene,(MED302A)
MED311A,MED210A y MED213A,No tiene,No tiene,No tiene
MED310B,MED214A y MED213A,y, (Carrera = Medicina),No tiene
MED307B,(BIO252M y MED211A) o (BIO252M y MED303A) o (BIO254M y MED211A) o (BIO254M y MED303A) o (BIO256M y MED211A) o (BIO256M y MED303A) o MED214A,No tiene,No tiene,(MED307A)
MED308A,(MED206A y MED207A y MED208A y MED211A y MED213A) o (MED206A y MED207A y MED208A y MED213A y MED214A),No tiene,No tiene,(MED301A)
MED306B,(BIO238M y MED208A) o (BIO239M y MED208A),No tiene,No tiene,(MED306A)
MED304A,BIO242C o MEB220F o MED104A o MED104B o EYP2310 o MAT1023 o MAT1013 o MAT1033 o MAT210E,No tiene,No tiene,(MEB230 o MED206A)
MED3002,No tiene,No tiene,No tiene,No tiene
MED301O,(BIO238C y BIO206O) o (BIO238C y MED203O) o (BIO238M y BIO206O) o (BIO238M y MED203O) o (BIO239M y BIO206O) o (BIO239M y MED203O),No tiene,No tiene,No tiene
MED3000,No tiene,No tiene,No tiene,No tiene
MED212A,MED111A,No tiene,No tiene,No tiene
MED209A,(MED110A),No tiene,No tiene,No tiene
MED208A,BIO238M o BIO239M,No tiene,No tiene,No tiene
MED207A,MED105A o MED108A o MED105B,No tiene,No tiene,(MED403A)
MED206A,MED104A o MED104B,No tiene,No tiene,(MED304A)
MED109A,No tiene,No tiene,No tiene,(MED202A)
MED203O,(MED102O y QIM200) o (MED102O y QIM201),No tiene,No tiene,(BIO206O)
MED107A,No tiene,No tiene,No tiene,(MED103A)
MED104A,No tiene,No tiene,No tiene,(BIO242C o MEB220F o MED104B)
MEC284,No tiene,No tiene,No tiene,No tiene
MED101O,No tiene,No tiene,No tiene,No tiene
MEB280,No tiene,No tiene,No tiene,No tiene
MEB203B,(BIO135F y BIO140A) o BIO135C,No tiene,No tiene,(MEB203 o MEB203C o MED821)
MEB174,No tiene,No tiene,No tiene,No tiene
MEB158,No tiene,No tiene,No tiene,No tiene
MDO4509,No tiene,No tiene, (Nivel = Doctorado),No tiene
MDO4507,No tiene,No tiene, (Nivel = Doctorado),No tiene
MDO4505,No tiene,No tiene, ((Programa = Doct Ciencias Medica) o (Programa = Mag Inves Cs Salud)),No tiene
MDO4506,MDO4505,y, (Nivel = Doctorado),No tiene
MDO4504,No tiene,No tiene,No tiene,No tiene
MDO4080,No tiene,No tiene, (Programa = Doct Ciencias Medica),No tiene
MDO4081,No tiene,No tiene, (Programa = Doct Ciencias Medica),No tiene
MDO4502,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
MDO4070,No tiene,No tiene, (Programa = Doct Ciencias Medica),No tiene
MDO4061,No tiene,No tiene, (Programa = Doct Ciencias Medica),No tiene
MDO4060,No tiene,No tiene, (Programa = Doct Ciencias Medica),No tiene
MDO4042,No tiene,No tiene, (Programa = Doct Ciencias Medica),(MDO4002)
MDO4050,No tiene,No tiene, (Programa = Doct Ciencias Medica),No tiene
MDO4041,No tiene,No tiene, (Programa = Doct Ciencias Medica),No tiene
MDO4025,No tiene,No tiene, (Programa = Doct Ciencias Medica),No tiene
MDO3031,No tiene,No tiene, (Programa = Doct Ciencias Medica),No tiene
MDN1020,No tiene,No tiene,No tiene,No tiene
MDO4021,MDO4010 y MDO4015 y MDO3031 y MDO4025 y MDO4028 y MDO4502,y, (Programa = Doct Ciencias Medica),No tiene
MDN1000,No tiene,No tiene,No tiene,No tiene
MDE1020,No tiene,No tiene,No tiene,No tiene
MDE1040,No tiene,No tiene,No tiene,No tiene
MDA3020,No tiene,No tiene,No tiene,No tiene
MDE1000,No tiene,No tiene,No tiene,No tiene
MDA3000,No tiene,No tiene,No tiene,No tiene
MCV1020,No tiene,No tiene,No tiene,No tiene
MCV1000,No tiene,No tiene,No tiene,No tiene
MCS3202,MCS3201,y, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
MCS3201,MCS3010,y, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
MCS3101,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
MCS3021,MCS3020,y, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
MCS3020,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
MCR1020,No tiene,No tiene,No tiene,No tiene
MCR1000,No tiene,No tiene,No tiene,No tiene
MCS3010,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)),No tiene
MCP1020,No tiene,No tiene,No tiene,No tiene
MCP1000,No tiene,No tiene,No tiene,No tiene
MCO1020,No tiene,No tiene,No tiene,No tiene
MCO1000,No tiene,No tiene,No tiene,No tiene
MCI1020,No tiene,No tiene,No tiene,No tiene
MCD1020,No tiene,No tiene,No tiene,No tiene
MCI1000,No tiene,No tiene,No tiene,No tiene
MCD1000,No tiene,No tiene,No tiene,No tiene
MCC3022,No tiene,No tiene,No tiene,No tiene
MCC3000,No tiene,No tiene,No tiene,No tiene
MCA1020,No tiene,No tiene,No tiene,No tiene
MCA1000,No tiene,No tiene,No tiene,No tiene
MAS3015,No tiene,No tiene, (Programa = Mag Admin Salud),No tiene
MAR3020,No tiene,No tiene,No tiene,No tiene
MAR3000,No tiene,No tiene,No tiene,No tiene
MAP1040,No tiene,No tiene,No tiene,No tiene
MAP1020,No tiene,No tiene,No tiene,No tiene
MAP1000,No tiene,No tiene,No tiene,No tiene
MAI3020,No tiene,No tiene,No tiene,No tiene
MAI3000,No tiene,No tiene,No tiene,No tiene
MAF3000,No tiene,No tiene, ((Programa = Mag En Fisica) o (Programa = Doct En Fisica) o (Programa = Mag Fisica Medica) o (Programa = Mag Fis Med Mencion) o (Programa = Mg Fis Med)),No tiene
MAC1020,No tiene,No tiene,No tiene,No tiene
MAE1000,No tiene,No tiene,No tiene,No tiene
MAC1000,No tiene,No tiene,No tiene,No tiene
MPG6050,MPG6000 y MPG5000,y, (Programa = Doct En Matematica),No tiene
MPG6000,MPG3100 y MPG3200 y MPG3101 y MPG3201 y (MPG4200 o MPG4100),y, (Programa = Doct En Matematica),No tiene
MPG5070,MPG6000 y MPG5000,y, (Programa = Doct En Matematica),No tiene
MPG5050,MPG5000 y MPG6000,y, (Programa = Doct En Matematica),No tiene
MPG5003,MPG5002,y, (Programa = Doct En Matematica),No tiene
MPG4500,No tiene,No tiene,No tiene,No tiene
MPG5000,MPG6000,y, (Programa = Doct En Matematica),No tiene
MPG4100,No tiene,No tiene,No tiene,(MPG4200)
MPG5001,MPG5000,y, (Programa = Doct En Matematica),No tiene
MPG5002,MPG5001,y, (Programa = Doct En Matematica),No tiene
MPG3990,(MPG3101 y MPG3100),No tiene,No tiene,No tiene
MPG3960,(MPG3101 y MPG3100),No tiene,No tiene,No tiene
MPG3425,No tiene,No tiene,No tiene,No tiene
MPG3420,No tiene,No tiene,No tiene,No tiene
MPG3325,No tiene,No tiene,No tiene,No tiene
MPG3320,No tiene,No tiene,No tiene,No tiene
MPG3225,No tiene,No tiene,No tiene,No tiene
MPG3403,No tiene,No tiene, ((Programa = Mag En Matematica) o (Programa = Doct En Matematica)),No tiene
MPG3200,No tiene,No tiene,No tiene,No tiene
MPG3220,No tiene,No tiene,No tiene,No tiene
MPG3125,No tiene,No tiene,No tiene,No tiene
MPG3100,No tiene,No tiene,No tiene,No tiene
MPG3120,No tiene,No tiene,No tiene,No tiene
MAT2940,MAT1930 y EDU0333,No tiene,No tiene,(MAT2930)
MAT2925,(MAT2920),No tiene,No tiene,No tiene
MAT2920,(EDU0333),No tiene,No tiene,No tiene
MAT2820,MAT2534,No tiene,No tiene,No tiene
MAT2605,(MAT1203 y MAT1630) o MAT2106 o (MAT1203 y MAT1630) o (MAT1216 y MAT1630) o (MAT1136 y MAT1216) o MAT2107 o (IMT2220 y IMT2230),No tiene,No tiene,(MAT280I o MLM2602)
MAT253I,MAT251I o MLM251I,No tiene,No tiene,No tiene
MAT2545,MAT2515 o MLM2512 o MAT251I o MLM251I,No tiene,No tiene,(MLM2541)
MAT2535,MAT2515 o MLM2512,No tiene,No tiene,(MAT253I o MLM253I o MLM2530 o MLM2532)
MAT2515,MAT1136 o MAT1630,No tiene,No tiene,(MLM2512)
MAT251I,MAT1523 o MAT1630 o MAT230E o MLM1130,No tiene,No tiene,(MLM251I)
MAT250I,MAT1640 y (MAT251I o MAT1145),No tiene,No tiene,No tiene
MAT2507,MAT1136 o MAT1630,No tiene,No tiene,(MAT2506)
MAT2505,MAT2500 o (MAT1505 y MAT2515) o (MAT1640 y MAT2515),No tiene,No tiene,(MLM3501)
MAT2405,(MAT1136 o MAT1630) y (MAT1226 o MAT1203),No tiene,No tiene,(MLM2401)
MAT2335,MAT2205 o MLM2201,No tiene,No tiene,No tiene
MAT2305,(MAT1136 o MAT1630) y (MAT1226 o MAT1203),No tiene,No tiene,(MLM2301)
MAT2237,MAT2227 o MAT2226,No tiene,No tiene,(MAT2236)
MAT2227,MAT1226 o MAT1215,No tiene,No tiene,(MAT2226)
MAT2218,MAT2205 o MLM2201,No tiene,No tiene,(MLM2211)
MAT2205,MAT1226 o (MAT1203 y MAT1630),No tiene,No tiene,(MLM2201)
MAT2107,MAT1620 y (MAT1203 o MAT1216),No tiene,No tiene,No tiene
MAT2095,MAT2515 o MLM2512,No tiene,No tiene,(MLM2030)
MAT2006,(MAT2236 y MAT2506) o (MAT2237 y MAT2506) o (MAT2236 y MAT2507) o (MAT2237 y MAT2507),No tiene,No tiene,No tiene
MAT1930,MAT120B o MAT1920,No tiene,No tiene,No tiene
MAT1920,No tiene,No tiene,No tiene,(MAT120B)
MAT1900,No tiene,No tiene,No tiene,(EPA3100)
MAT1640,(MAT1203 y MAT1620) o (MAT1126 y MAT1203) o (MAT1216 y MAT1620) o (MAT1126 y MAT1216),No tiene,No tiene,(MAT1532 o MLM1500)
MAT1630,MAT1203 y MAT1620,No tiene,No tiene,(MAT1523 o MAT230E o MLM1130)
MAT1620,(MAT1610),No tiene,No tiene,(MAT1512)
MAT1610,MAT1000 o MAT1107,o,(Programa=Lic en Fisica) o (Programa=Lic en Astronomia) o (Carrera=Ingenieria) o (Programa=Lic en Astronomia) o (Carrera=Ingenieria Comercial),No tiene
MAT1399,(MAT1389),No tiene,No tiene,No tiene
MAT1389,No tiene,No tiene,No tiene,No tiene
MAT1307,MAT1211 o (AQT0000 y AQT0200),o,(Escuela=Dise�o),(MAT1006 o MAT1007 o MAT1009 o MAT1010)
MAT1304,No tiene,No tiene,No tiene,(MAT1306)
MAT1299,MAT1289 o MAT1108 o MAT1109 o MAT1128 o MLM1300 o MAT1004 o MAT110E o MAT1600 o MAT1012 o MAT1492 o MAT1000 o MAT1409,No tiene,No tiene,(MAT1209)
MAT1279,No tiene,No tiene,No tiene,No tiene
MAT1226,(MAT1206 y MAT1216) o (MAT1216 y MAT1600) o (MAT1216 y MAT1306),No tiene,No tiene,(MAT1215)
MAT1220,MAT1020 o MAT1199 o MAT1100 o MAT113G o MAT1419 o MAT1501 o MAT1502 o MAT1503 o MAT113S o MAT1506 o MAT1100,No tiene,No tiene,(MAT1516 o MAT1519)
MAT1216,MAT1305 o MAT1306 o MAT1304,No tiene,No tiene,(MAT1203 o MAT1316)
MAT1207,No tiene,No tiene,No tiene,No tiene
MAT1204,No tiene,No tiene,No tiene,(MAT1206)
MAT1203,MAT1600 o MAT1207,o,(Carrera=Ingenieria) o (Carrera=Lic en Fisica) o (Carrera=Lic en Astronomia) o (Carrera=Lic en Astronomia),(MAT1202 o MAT1216)
MAT1136,MAT1126 y (MAT0006 o EDU024M o EDU024F),No tiene,No tiene,(MAT1135 o MAT1145)
MAT1126,MAT1115 o MAT1116 o MAT1125,No tiene,No tiene,(MAT1125)
MAT1107,No tiene,No tiene,No tiene,(MAT1106)
MAT1116,MAT1106 o MAT1115 o MAT1305,No tiene,No tiene,No tiene
MAT1104,No tiene,No tiene,No tiene,(MAT1106)
MAT1103,No tiene,No tiene,No tiene,No tiene
MAT1100,MAT1004 o MAT1012 o MAT1289 o MAT1492 o MAT1600 o MAT110E o MAT1000 o MAT1070 o MAT117S o MAT2013 o MAT117G o MAT1409 o MAT1490 o MAT1491,No tiene,No tiene,(MAT1020 o MAT1199 o MAT1419 o MAT1506)
MAT1033,No tiene,No tiene,No tiene,(MAT1023)
MAT102N,No tiene,No tiene, (Nivel = Pregrado),(MAT100N)
MAT1023,No tiene,No tiene,No tiene,(MAT1013 o MAT1033 o MAT210E)
MAT1000,No tiene,No tiene,No tiene,(MAT1004 o MAT1012 o MAT110E o MAT1289 o MAT1409 o MAT1492 o MAT1600)
MAT0100,No tiene,No tiene, (Nivel = Pregrado),No tiene
MAT0007,(MAT1107(c) o MAT1106(c)) y MAT1207(c),No tiene,No tiene,No tiene
MAT0004,No tiene,No tiene,No tiene,(MAT0006)
EYP3707,EYP2707 o EYP2706,No tiene,No tiene,No tiene
EYP3507,EYP2307 o EYP2305,No tiene,No tiene,No tiene
EYP3307,EYP2307 o EYP2305,No tiene,No tiene,(EYP2355)
EYP3007,EYP2007,No tiene,No tiene,No tiene
EYP2925,EPG3306,No tiene,No tiene,(EYP2995)
EYP280I,(EYP2114),No tiene,No tiene,No tiene
EYP2807,EYP2127 o EYP2405,No tiene,No tiene,(EYP2805)
EYP2717,EYP2307 o EYP2305,No tiene,No tiene,No tiene
EYP2627,EYP2127 o EYP2405,No tiene,No tiene,No tiene
EYP2427,EYP2307 o EYP2305,No tiene,No tiene,No tiene
EYP2417,EYP2307 o EYP2305,No tiene,No tiene,(EYP2415)
EYP2310,MAT113G o MAT1419 o MAT1501 o MAT1502 o MAT1503 o MAT1506 o MAT1100,No tiene,No tiene,(BIO242C o EYP2216)
EYP230P,No tiene,No tiene,No tiene,(EYP1061)
EYP230I,(EYP2114),No tiene,No tiene,No tiene
EYP2307,EYP2127 o EYP2405,No tiene,No tiene,(EYP2305)
EYP2127,EYP1027 o EYP1026,No tiene,No tiene,(EYP2405)
EYP2114,EYP1112 o EYP1113 o EYP2113 o EYP1026 o EYP1025 o EYP1027,No tiene,No tiene,No tiene
EYP2020,EYP1020 y EDU0333,No tiene,No tiene,No tiene
EYP2017,EYP1027 o EYP1026,No tiene,No tiene,(EYP2106)
EYP1707,No tiene,No tiene,No tiene,(EYP1705)
EYP1510,MAT1610(c) o MAT220E(c),No tiene,No tiene,No tiene
EYP1113,MAT1523 o MAT1630,No tiene,No tiene,(EYP1112 o EYP2113)
EYP1086,ENF1129(c) o ENF1132(c),No tiene,No tiene,(EYP1084)
EYP1027,(EYP1016 y MAT1620 y MAT2107(c)) o (EYP1016 y MAT1136),No tiene,No tiene,(EYP1026)
EYP1020,No tiene,No tiene,No tiene,No tiene
EYP1016,(MAT1106 y MAT1116(c)) o (MAT1107 y MAT1610(c)),o,(Programa=Mag Fisica Medica),(EYP1015)
EYP1010,MAT1020 o MAT113S o MAT1100 o MAT1419,No tiene,No tiene,(ICP0402)
EPG5004,EPG5003,y, (Programa = Doct En Estadistica),No tiene
EPG5003,EPG5002,y, (Programa = Doct En Estadistica),No tiene
EPG5002,EPG5001,y, (Programa = Doct En Estadistica),No tiene
EPG5001,EPG5000,y, (Programa = Doct En Estadistica),No tiene
EPG4100,No tiene,No tiene,No tiene,No tiene
EPG4200,EPG3110 y EPG3510 y EPG3730 y EPG3210 y EPG3220 y EPG3520 y EPG4100 y EPG3530 y EPG3601,y, (Programa = Doct En Estadistica),No tiene
EPG4070,EPG4010 y EPG5003,y, (Programa = Doct En Estadistica),No tiene
EPG4060,EPG4010 y EPG5003,y, (Programa = Doct En Estadistica),No tiene
EPG4020,EPG4010,No tiene,No tiene,No tiene
EPG4010,EPG4200 y EPG5001,y, (Programa = Doct En Estadistica),No tiene
EPG4009,No tiene,No tiene, (Programa = Mg Intel Artif),No tiene
EPG4004,No tiene,No tiene, (Programa = Mg Intel Artif),No tiene
EPG4006,No tiene,No tiene, (Programa = Mg Intel Artif),No tiene
EPG4007,No tiene,No tiene, (Programa = Mg Intel Artif),No tiene
EPG4002,No tiene,No tiene, (Programa = Mg Intel Artif),No tiene
EPG4001,No tiene,No tiene, (Programa = Mg Intel Artif),No tiene
EPG3730,No tiene,No tiene, (Programa = Doct En Estadistica),No tiene
EPG3701,No tiene,No tiene,No tiene,No tiene
EPG3530,EPG3510 o EPG3520,No tiene,No tiene,No tiene
EPG3601,No tiene,No tiene,No tiene,No tiene
EPG3510,No tiene,No tiene, (Programa = Doct En Estadistica),No tiene
EPG3390,EPG3307 y EPG3316 y EPG3317 y EPG3318,No tiene,No tiene,No tiene
EPG3383,(EPG3382),No tiene,No tiene,No tiene
EPG3382,EPG3380 o EPG3381,No tiene,No tiene,No tiene
EPG3381,(EPG3306),No tiene,No tiene,(EPG3380)
EPG3380,No tiene,No tiene,(Creditos >= 350),(EPG3381)
EPG3341,EPG3307 y EPG3317 y EPG3318,No tiene,No tiene,No tiene
EPG3342,No tiene,No tiene,((Programa=Mag en Estadistica) y (Creditos >= 80)),No tiene
EPG3313,EPG3307 y EPG3317 y EPG3318,No tiene,No tiene,(EPG3323 o EPG3602)
EPG3308,No tiene,No tiene,(Creditos >= 350) o (Nivel=Magister) o (Nivel=Doctorado),(EPG3601)
EPG3306,No tiene,No tiene,(Creditos >= 350) o (Nivel=Magister) o (Nivel=Doctorado),No tiene
EPG3307,No tiene,No tiene,(Creditos >= 350),No tiene
EPG3110,No tiene,No tiene, (Programa = Doct En Estadistica),No tiene
CLG0901,No tiene,No tiene, ((Programa = Lic Ccnn Y Matematic) o (Programa = Lic Cs Sociales) o (Programa = Lic Arte Y Humanid)),No tiene
LET4520,No tiene,No tiene, (Nivel = Doctorado),No tiene
LET4509,No tiene,No tiene, ((Programa = Mag Letras-Literat) o (Programa = Mag Ling Aplic Ingle) o (Programa = Doct En Ling��stica)),No tiene
LET4507,No tiene,No tiene, (Programa = Doct En Literatura),No tiene
LET4504,LET4489,y, (Programa = Doct En Literatura),No tiene
LET4503,LET4487,y, (Programa = Doct En Literatura),No tiene
LET4506,No tiene,No tiene, (Programa = Doct En Literatura),No tiene
LET4505,No tiene,No tiene, (Programa = Doct En Literatura),No tiene
LET4502,LET4489,y, (Programa = Doct En Literatura),No tiene
LET4498,No tiene,No tiene, ((Programa = Mag Letras-Linguis) o (Programa = Mag En Traducci�n) o (Programa = Mag Ling Aplic Ingle) o (Programa = Doct En Ling��stica)),No tiene
LET4500,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)) y (Programa = Doct En Literatura),No tiene
LET4489,No tiene,No tiene, (Programa = Doct En Literatura),No tiene
LET4493,LET4492 y LET4480,y, (Programa = Doct En Ling��stica),No tiene
LET4494,LET4493,y, (Programa = Doct En Ling��stica),No tiene
LET4488,No tiene,No tiene, (Programa = Doct En Literatura),No tiene
LET4486,No tiene,No tiene, (Programa = Doct En Literatura),No tiene
LET4485,LET4141 y LET4142 y LET4110 y (LET4480 o LET4481),y, (Programa = Doct En Literatura),No tiene
LET4477,No tiene,No tiene,(Nivel=Doctorado) o (Nivel=Magister),No tiene
LET4483,No tiene,No tiene, (Programa = Doct En Ling��stica),No tiene
LET4474,No tiene,No tiene,No tiene,No tiene
LET4482,No tiene,No tiene, (Programa = Doct En Ling��stica),No tiene
LET4433,No tiene,No tiene,No tiene,No tiene
LET4473,No tiene,No tiene, ((Programa = Mag Letras-Linguis) o (Programa = Doct En Ling��stica)),No tiene
LET4421,No tiene,No tiene,No tiene,No tiene
LET4431,No tiene,No tiene,No tiene,No tiene
LET4412,No tiene,No tiene,No tiene,No tiene
LET4411,No tiene,No tiene,No tiene,No tiene
LET4401,No tiene,No tiene,No tiene,No tiene
LET4146,No tiene,No tiene,No tiene,No tiene
LET4144,No tiene,No tiene,No tiene,No tiene
LET4141,No tiene,No tiene,No tiene,No tiene
LET4114,No tiene,No tiene,No tiene,(LPD2051)
LET4110,No tiene,No tiene,No tiene,(LPD2042)
LET3724,No tiene,No tiene,No tiene,No tiene
LET3723,No tiene,No tiene,No tiene,(LET3706)
LET3722,No tiene,No tiene,No tiene,(LET3701)
LET3720,No tiene,No tiene,No tiene,(LET3700)
LET3716,No tiene,No tiene,No tiene,No tiene
LET3705,No tiene,No tiene,No tiene,No tiene
LET3545,No tiene,No tiene, (Programa = Mag En Traducci�n),No tiene
LET3543,No tiene,No tiene, (Programa = Mag En Traducci�n),No tiene
LET3501,No tiene,No tiene,No tiene,No tiene
LET3502,No tiene,No tiene,No tiene,No tiene
LET3190,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)) y (Escuela = Letras),No tiene
LET3511,No tiene,No tiene,No tiene,No tiene
LET3503,No tiene,No tiene,No tiene,No tiene
LET3513,No tiene,No tiene,No tiene,No tiene
LET3200,LET3101 y LET3103 y LET3106 y LET3104 y LET3111,y, ((Nivel = Doctorado) o (Nivel = Magister)) y (Escuela = Letras),No tiene
LET312E,No tiene,No tiene,No tiene,No tiene
LET3106,No tiene,No tiene,No tiene,No tiene
LET310E,No tiene,No tiene,No tiene,No tiene
LET3111,No tiene,No tiene,No tiene,No tiene
LET309E,No tiene,No tiene,No tiene,No tiene
LET300E,No tiene,No tiene,No tiene,No tiene
LET3103,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)) y (Escuela = Letras),No tiene
LET299E,No tiene,No tiene,No tiene,No tiene
LET3101,No tiene,No tiene, ((Nivel = Doctorado) o (Nivel = Magister)) y (Escuela = Letras),No tiene
LET296E,No tiene,No tiene,No tiene,No tiene
LET2315,No tiene,No tiene,No tiene,No tiene
LET265E,No tiene,No tiene,No tiene,No tiene
LET2313,No tiene,No tiene,No tiene,No tiene
LET209I,No tiene,No tiene,No tiene,No tiene
LET2311,LET1312 o LET1712,No tiene,No tiene,No tiene
LET205E,No tiene,No tiene,No tiene,No tiene
LET204I,No tiene,No tiene,No tiene,No tiene
LET183E,No tiene,No tiene,No tiene,No tiene
LET202G,No tiene,No tiene, (Nivel = Pregrado),No tiene
LET182E,No tiene,No tiene,No tiene,No tiene
LET163E,No tiene,No tiene, ((Escuela = Enfermer�a) o (Escuela = Medicina) o (Escuela = Odontolog�a) o (Escuela = Ciencias de la Salud)),No tiene
LET1357,LET1344 o LET1744,No tiene,No tiene,(LET1738)
LET1367,LET1335 o LET1716,No tiene,No tiene,(LET1760)
LET161E,No tiene,No tiene, ((Programa <> Lic Ccnn Y Matematic) y (Programa <> Lic Cs Sociales)) y ((Escuela <> Construcci�n Civil) y (Escuela <> Astrof�sica) y (Escuela <> F�sica) y (Escuela <> Ingenier�a) y (Escuela <> Matem�ticas) y (Escuela <> Qu�mica) y (Escuela <> Agronom�a e Ing. Forestal) y (Escuela <> Ciencias Biol�gicas) y (Escuela <> Enfermer�a) y (Escuela <> Medicina) y (Escuela <> Odontolog�a) y (Escuela <> Ciencias de la Salud) y (Escuela <> Derecho) y (Escuela <> Filosof�a) y (Escuela <> Estudios Urbanos)),No tiene
LET162E,No tiene,No tiene, ((Escuela = Construcci�n Civil) o (Escuela = Astrof�sica) o (Escuela = F�sica) o (Escuela = Matem�ticas) o (Escuela = Qu�mica) o (Escuela = Agronom�a e Ing. Forestal) o (Escuela = Ciencias Biol�gicas)),No tiene
LET134P,No tiene,No tiene,No tiene,No tiene
